"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "species.specificity.index" "resource.range" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.similarity" "proportional.generality" "d"
"CoSMV" 50 0.555555555555556 1.4475995138022 0.00895199027604406 0.534883720930233 0.982009482366695 0.414518055670563 0.449438202247191 1 1 0.0156500454892096 0 0.0116137744767049 0.00808987844609418 14.3925508934523 2.54677264060697 12.7658372827044 0.439838229033631 0.258766836547835 0.251705366178688
"CsCV" 64 0.711111111111111 0.946805169951397 -0.000831169219509418 0.255813953488372 0.950274922304566 0.254976517304963 0.292134831460674 1 1 0.0156500454892096 0 0.0116137744767049 0.00665390377901726 27.457235567523 3.36119311760364 28.82356026896 0.613384919740565 0.584261051090616 0.107749253797576
"CSSV" 55 0.611111111111111 1.29128888592632 0.00529616156229681 0.465116279069767 0.966292134831461 0.288812455958548 0.393258426966292 1 1 0.0156500454892096 0 0.0116137744767049 0.00657079810050731 20.4754990692936 3.10773778174361 22.3703804328587 0.460851122058019 0.453453420154837 0.224656796784901
"CyLNV" 59 0.655555555555556 1.4577082800635 0.0077577674587034 0.372093023255814 0.920545746388443 0.173161308126804 0.348314606741573 1 1 0.0156500454892096 0 0.0116137744767049 0.00638618815667769 25.9602350309607 3.60246762384083 36.6886566376214 0.449934259353444 0.743688596765176 0.235338584448265
"CYV" 48 0.533333333333333 0.87426863149686 -0.00261940351048209 0.569767441860465 0.926698769395399 0.202931265542545 0.471910112359551 1 1 0.0156500454892096 0.0596979707409155 0.0116137744767049 0.00542237729031873 23.4659414336176 3.37296270489417 29.1648058984879 0.426201292227773 0.591178188610326 0.21789207999796
"DBRTV1" 58 0.644444444444444 1.31282648144124 0.00539356002484897 0.395348837209302 0.939756155868994 0.225803372711256 0.359550561797753 1 1 0.0156500454892096 0.00047192071731949 0.0116137744767049 0.00727895281999668 21.4495287328221 3.32870730099915 27.9022491702482 0.455194197772908 0.565585835888471 0.228699051792205
"DBTRV1" 61 0.677777777777778 1.3847767120638 0.00630781495186554 0.313953488372093 0.960343688037013 0.25778484728934 0.325842696629214 1 1 0.0156500454892096 0 0.0116137744767049 0.0070029327623066 22.8089517081471 3.28926984125329 26.8232712578644 0.514195319367733 0.543714673432812 0.168456394938312
"FBaV-1" 64 0.711111111111111 1.03850807868082 0.000601688729387766 0.267441860465116 0.887640449438202 0.166385998319866 0.292134831460674 1 1 0.0156500454892096 0 0.0116137744767049 0.00646011968914423 28.4001357219272 3.6634635751954 38.9961754211076 0.634563327457789 0.790462601685827 0.0897494526230541
"FreMV" 15 0.166666666666667 0.317872033812111 -0.0454751977458593 0.86046511627907 0.981493721083939 0.419559247957683 0.842696629213483 1 1.04651162790698 0.00431946881394937 0 0.0113436866981769 0.00236397838291193 7.87891411209554 2.16611529948028 8.72432672987131 0.09757343550447 0.176844368207414 0.405160300160604
"GLRaV-1" 56 0.622222222222222 1.45138771367537 0.00806049488706018 0.418604651162791 0.954920806822797 0.281730105515131 0.382022471910112 1 1.04651162790698 0.00114278409662788 0.00047192071731949 0.0113436866981769 0.00787857833847385 17.4246834888306 3.03762282035314 20.8556067371725 0.479130235452075 0.422748564011193 0.231118336671298
"GLRaV-10" 28 0.311111111111111 0.397065277563901 -0.0215333829441464 0.802325581395349 0.918138041733547 0.207057924926835 0.696629213483146 1 1.02325581395349 0.00516851061373471 0 0.0114787305874409 0.00266696783154499 21.3008378760585 3.12492526700757 22.7581942420146 0.242486164325245 0.461314506767681 0.244482883229564
"GRSPaV" 4 0.0444444444444444 0.145754948835962 -0.213561262791009 0.965116279069767 0.971910112359551 0.507002105578237 0.966292134831461 1 1.08139534883721 0.0101511583192094 0 0.0111411208642809 0.000472972852792917 3.87837451962527 1.35178399428965 3.86431329785834 0.014176245210728 0.0783306339703475 0.493618395127132
"HarMV" 50 0.555555555555556 1.57094548623071 0.0114189097246142 0.523255813953488 0.994840317613982 0.694017649235836 0.449438202247191 1 1 0.0156500454892096 0.208352996696555 0.0116137744767049 0.0106874798916137 9.81323965982041 1.40880017142969 4.09104390682123 0.337990398993691 0.082926522287785 0.428696184105511
"HBV" 42 0.466666666666667 0.924159213664222 -0.00180573300799471 0.709302325581395 0.957446808510638 0.299162376212023 0.539325842696629 1 1 0.0156500454892096 0 0.0116137744767049 0.00671753688551345 15.2248626787629 2.84979733043162 17.2842784883072 0.344742443593018 0.350356813061583 0.325388250425515
"IYVV" 56 0.622222222222222 0.997780497933964 -3.96339654649206e-05 0.430232558139535 0.93545302414535 0.219194128510198 0.382022471910112 1 1.02325581395349 0.00516851061373471 0 0.0114787305874409 0.00728795592839561 19.7422409214998 3.32724779479274 27.8615553680635 0.597760238936496 0.564760961951475 0.125581678737168
