"TZ1" "TZ10" "TZ100" "TZ101" "TZ102" "TZ103" "TZ104" "TZ105" "TZ106" "TZ107" "TZ108" "TZ109" "TZ110" "TZ111" "TZ112" "TZ114" "TZ115" "TZ116" "TZ15" "TZ17" "TZ18" "TZ19" "TZ2" "TZ20" "TZ22" "TZ23" "TZ29" "TZ3" "TZ31" "TZ32" "TZ34" "TZ35" "TZ36" "TZ37" "TZ38" "TZ39" "TZ40" "TZ41" "TZ42" "TZ43" "TZ44" "TZ46" "TZ48" "TZ49" "TZ52" "TZ54" "TZ55" "TZ57" "TZ58" "TZ59" "TZ60" "TZ61" "TZ62" "TZ63" "TZ64" "TZ65" "TZ66" "TZ67" "TZ68" "TZ69" "TZ70" "TZ71" "TZ72" "TZ73" "TZ75" "TZ76" "TZ77" "TZ78" "TZ79" "TZ80" "TZ81" "TZ82" "TZ83" "TZ84" "TZ86" "TZ87" "TZ88" "TZ89" "TZ9" "TZ91" "TZ93" "TZ95" "TZ96" "TZ98" "UG134" "UG135" "UG136" "UG137" "UG139" "UG140"
"SPCSV" 1 3 3 2 0 0 0 1 1 3 1 1 1 2 11 0 5 4 0 1 2 4 0 2 1 2 1 0 1 1 3 15 2 1 1 0 2 1 1 2 1 3 3 5 10 9 87 3 1 15 52 7 0 1 1 5 0 0 1 1 5 1 2 1 0 0 0 0 0 0 1 5 1 6 6 1 2 1 1 3 1 9 0 3 1 24 0 0 1 0
"SPCV" 0 1 21 6 0 0 0 2 1 2 1 1 0 0 5 0 1 8 0 1 1 4 2 1 2 2 0 1 1 3 1 4 17 4 0 1 2 1 1 1 2 1 2 1 4 4 7 6 1 11 9 8 11 0 4 4 0 0 1 1 1 0 13 4 0 0 0 0 0 0 1 2 1 2 3 1 0 1 0 2 0 15 8 1 7 22 0 0 1 0
"SPFMV" 0 1 12 3 1 3 0 1 1 2 1 2 1 1 15 4 3 19 0 4 0 4 3 1 1 1 1 3 1 3 1 5 10 2 3 6 1 2 1 1 1 3 2 4 14 77 54 15 1 55 9 6 15 1 1 3 0 1 1 2 1 0 7 3 2 2 0 0 0 0 1 6 1 5 9 12 1 3 0 13 0 10 10 2 2 14 0 1 1 0
"SPGVaV" 0 1 8 1 0 0 0 1 0 1 1 0 0 1 13 1 1 11 0 1 2 1 2 0 1 0 3 1 0 4 0 18 6 3 1 0 0 1 1 1 2 0 4 3 5 18 47 7 0 11 28 2 10 0 1 1 1 0 0 5 1 1 11 1 1 0 0 0 0 0 2 0 1 4 23 3 1 2 0 1 1 2 7 0 2 54 0 0 0 0
"SPLCV" 0 2 7 13 2 0 0 1 2 2 1 1 0 1 4 0 0 2 1 1 2 1 2 7 0 4 2 0 1 3 1 3 5 11 3 0 1 1 1 3 2 1 1 2 9 10 10 1 1 4 35 1 19 4 1 7 1 0 0 2 2 0 2 14 2 0 0 0 0 0 1 1 0 3 4 1 0 0 1 1 1 1 7 9 1 51 0 0 0 1
"SPLV" 0 0 7 2 0 1 0 0 0 0 0 0 0 1 12 1 4 7 0 0 0 0 0 5 1 0 1 1 49 4 1 1 4 4 1 5 16 0 0 1 1 0 1 4 3 28 382 15 6 1 199 0 0 7 5 1 0 0 0 1 7 0 1 12 2 0 0 0 0 0 0 0 1 3 7 4 0 2 2 0 5 1 1 0 1 0 1 0 0 1
"SPMMV" 1 0 12 8 0 0 0 0 1 1 2 1 0 2 16 1 2 3 1 0 2 1 1 4 0 1 1 2 0 1 2 3 11 11 1 2 1 0 1 1 2 2 1 2 13 28 37 5 2 5 26 2 6 4 0 2 0 1 0 1 4 0 8 5 1 1 0 0 0 0 4 1 0 3 6 4 1 0 1 1 0 2 2 15 0 12 0 1 0 0
"SPMV" 1 1 3 4 5 2 0 0 0 1 1 1 0 0 6 0 1 2 0 1 1 0 0 7 2 1 4 3 0 1 2 11 2 5 13 6 0 1 1 2 3 1 1 1 2 10 60 2 0 7 27 1 1 5 4 1 1 1 0 1 2 0 2 2 8 2 0 0 0 0 2 4 0 1 3 1 1 0 0 2 0 8 1 12 11 3 1 0 0 0
"SPPV" 1 1 2 4 3 1 0 3 0 3 1 0 0 1 7 1 7 38 0 2 1 5 0 7 4 1 1 1 0 6 2 7 2 3 7 3 4 4 0 2 2 1 1 3 6 26 100 31 2 27 19 8 1 4 7 2 0 1 0 3 4 1 1 3 4 1 1 1 0 0 2 1 0 4 4 4 2 5 1 6 0 11 1 13 13 9 0 0 0 1
"SPSMV-1" 0 1 3 11 3 1 0 0 0 3 1 1 0 0 8 1 6 12 0 1 1 1 1 3 3 0 2 1 1 1 0 8 2 11 8 2 2 0 0 2 1 1 1 1 9 22 75 11 1 20 17 1 5 2 5 0 0 0 1 0 1 1 2 10 5 1 0 0 0 0 2 2 0 1 5 3 2 2 0 4 0 1 4 5 10 1 0 0 1 0
"SPV2" 0 1 4 3 2 11 0 0 1 2 2 1 0 0 3 1 1 6 0 0 2 0 1 0 2 3 1 3 1 1 1 10 4 2 2 21 5 0 0 1 2 1 1 1 6 11 13 3 0 4 60 1 3 0 6 10 0 2 1 0 1 1 4 2 2 7 1 0 0 0 3 1 0 1 1 2 0 1 0 1 1 2 2 1 12 40 0 1 1 0
"SPVC" 1 2 7 2 1 4 0 2 3 1 2 0 0 0 9 1 4 18 2 2 4 0 5 1 3 7 1 1 1 2 3 11 5 1 3 10 3 3 3 0 3 1 1 1 7 17 64 12 9 16 93 1 17 0 6 14 0 0 0 1 4 1 4 1 1 3 1 1 1 0 2 2 0 1 6 2 1 2 2 3 2 1 10 1 10 73 0 0 1 0
"SPVCV" 0 0 9 2 3 5 0 1 0 0 2 0 0 0 2 1 4 16 1 0 3 0 0 2 2 5 0 1 0 5 0 2 7 2 10 11 2 1 0 0 2 1 1 1 1 20 69 12 3 6 65 1 2 2 2 12 0 1 0 2 1 0 4 2 6 4 0 0 0 0 2 1 0 2 1 3 1 2 1 2 1 1 1 4 4 58 0 0 0 1
"SPVE" 0 0 10 4 1 2 2 3 0 1 1 1 0 0 3 0 3 4 0 0 0 1 0 2 0 5 6 0 1 4 0 4 8 3 2 5 19 3 0 1 1 1 1 1 2 8 25 4 1 2 10 2 2 1 0 13 1 0 1 2 1 0 7 3 1 1 3 1 0 0 1 3 0 1 2 1 1 1 1 1 0 3 1 3 1 63 1 0 1 0
"SPVF" 1 0 3 7 0 0 1 1 1 2 1 0 0 0 1 0 0 14 0 0 0 0 0 0 0 8 7 0 0 1 0 4 9 0 3 4 15 4 7 2 1 1 0 1 0 0 0 5 0 21 0 2 1 3 3 19 0 0 0 0 0 0 4 3 0 0 0 14 0 0 0 0 0 2 0 0 0 0 2 6 0 3 0 10 0 0 1 0 0 0
"SPVG" 0 0 2 6 1 5 1 1 1 1 0 1 0 0 4 0 3 11 1 1 1 2 0 1 1 2 7 0 1 1 2 2 1 5 2 13 10 1 1 1 0 1 1 1 4 3 46 8 3 17 24 3 2 1 2 5 2 0 1 1 3 0 1 5 1 4 2 0 0 0 0 3 0 1 2 0 1 2 2 4 0 6 1 2 4 22 2 0 1 0
"SPYMV" 0 0 3 8 1 1 0 12 3 0 1 0 0 0 3 0 1 8 0 1 0 0 1 1 1 0 8 4 0 6 2 2 2 6 3 2 4 12 3 0 1 1 1 1 2 5 15 5 1 8 12 0 4 1 1 1 2 2 0 3 3 0 2 5 2 1 1 3 1 0 1 2 0 2 2 1 0 1 0 2 0 0 3 2 2 4 2 1 0 1
"TaBV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 5 0 0 0
"ToBV-1" 0 1 2 1 1 1 0 4 1 1 0 0 0 0 3 0 1 8 1 1 0 0 1 1 0 1 2 1 0 2 1 10 1 1 4 3 8 9 1 2 1 0 1 1 2 8 4 4 3 12 58 1 8 1 1 5 1 2 0 2 2 1 1 1 3 1 2 2 0 0 1 0 0 1 2 1 0 2 0 4 1 1 8 1 2 16 0 1 0 1
"ToLCPaV" 0 0 1 4 1 0 0 1 3 0 0 0 0 0 3 0 0 3 0 0 0 0 0 3 0 0 0 0 1 0 3 4 1 35 1 2 0 3 9 2 0 0 1 0 1 9 9 1 3 3 9 1 3 0 1 1 0 7 1 0 0 0 1 2 4 1 0 0 4 1 0 0 0 2 0 1 0 1 0 1 0 1 0 8 2 0 0 1 0 0
"TuMV" 0 1 2 10 1 3 0 1 3 0 1 3 0 0 6 0 1 6 1 2 4 0 0 0 0 0 0 2 1 1 1 1 0 17 4 3 1 10 8 1 7 6 0 2 1 0 0 6 0 0 0 4 11 1 1 19 0 2 8 1 0 1 1 2 3 1 1 0 1 0 4 1 0 2 0 1 2 0 0 2 0 31 1 8 1 0 0 1 1 0
"UPotV1" 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 45 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 3 4 0 0 0 0 0 0 0 0 0 0
"WMV" 0 0 2 0 0 1 0 1 1 5 1 0 0 0 5 0 0 2 0 5 0 0 0 0 0 0 1 0 0 3 0 4 10 1 2 8 28 0 0 43 6 0 1 0 1 4 0 0 0 5 0 1 0 0 0 1 0 0 6 1 0 1 2 1 1 2 0 0 1 3 4 0 0 1 1 1 1 0 0 1 0 1 0 0 9 6 0 0 1 0
"WTMV" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 61 0 1 2 3 0 14 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 1 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"YMV" 0 1 1 6 0 0 1 1 2 4 2 0 0 0 8 0 0 3 0 1 10 2 0 1 1 1 4 2 0 5 0 4 3 4 1 2 7 2 8 7 1 1 0 0 1 6 12 4 0 57 196 3 10 0 4 1 0 1 1 2 0 1 1 3 1 0 1 2 2 2 4 0 0 0 3 1 0 1 0 4 1 2 2 3 6 20 0 1 1 1
"ZTMV" 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 6 0 0 10 4 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 1 0 4 2 0 0 2 0 1 0 4 0 0 2 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0
