"TZ1" "TZ10" "TZ100" "TZ101" "TZ102" "TZ103" "TZ104" "TZ105" "TZ106" "TZ107" "TZ108" "TZ109" "TZ110" "TZ111" "TZ112" "TZ114" "TZ115" "TZ116" "TZ15" "TZ17" "TZ18" "TZ19" "TZ2" "TZ20" "TZ22" "TZ23" "TZ29" "TZ3" "TZ31" "TZ32" "TZ34" "TZ35" "TZ36" "TZ37" "TZ38" "TZ39" "TZ40" "TZ41" "TZ42" "TZ43" "TZ44" "TZ46" "TZ48" "TZ49" "TZ52" "TZ54" "TZ55" "TZ57" "TZ58" "TZ59" "TZ60" "TZ61" "TZ62" "TZ63" "TZ64" "TZ65" "TZ66" "TZ67" "TZ68" "TZ69" "TZ70" "TZ71" "TZ72" "TZ73" "TZ75" "TZ76" "TZ77" "TZ78" "TZ79" "TZ80" "TZ81" "TZ82" "TZ83" "TZ84" "TZ86" "TZ87" "TZ88" "TZ89" "TZ9" "TZ91" "TZ93" "TZ95" "TZ96" "TZ98" "UG134" "UG135" "UG136" "UG137" "UG139" "UG140"
"CMV" 0 1 3 4 0 13 1 1 4 12 0 1 2 0 3 1 9 11 0 0 1 0 1 4 0 0 2 0 0 4 0 54 1 2 0 28 7 1 6 4 1 1 4 1 3 17 32 5 0 1 13 1 2 1 0 2 0 1 0 0 0 0 1 2 1 3 3 0 1 1 1 0 1 7 1 3 5 1 0 2 0 0 1 1 2 0 0 0 0 0
"CoSMV" 0 0 4 5 0 2 0 0 0 0 1 1 0 1 3 0 2 4 0 0 0 0 0 0 0 0 1 2 50 11 1 5 2 8 0 18 51 0 0 2 2 0 2 5 1 11 173 8 2 4 5 0 0 1 3 3 0 1 0 3 7 0 0 25 1 2 1 0 0 1 0 0 2 3 2 2 0 1 1 0 0 2 0 0 0 0 1 0 0 1
"CsCV" 0 1 3 4 1 1 1 0 9 2 3 0 0 1 5 3 7 3 0 0 0 0 0 3 0 0 2 2 1 2 0 4 2 2 12 7 8 0 2 5 5 1 1 2 1 44 47 1 0 1 0 1 1 1 1 0 0 1 1 2 1 1 1 1 2 4 3 0 1 1 3 0 0 6 4 4 1 1 0 1 0 1 1 2 3 6 0 0 0 0
"CSSV" 0 0 4 1 1 0 5 4 0 5 1 0 0 1 3 0 2 23 1 0 0 0 0 0 0 0 0 1 0 2 0 1 2 2 1 1 8 6 1 4 4 0 1 3 16 3 6 10 1 1 9 0 1 1 0 2 0 1 0 1 0 0 10 1 1 1 3 3 0 1 3 0 0 2 7 1 0 31 1 0 0 0 1 3 1 70 0 0 0 0
"CyLNV" 3 0 6 1 1 0 0 28 1 0 5 1 4 1 6 0 12 8 0 1 2 0 1 0 0 0 4 1 5 2 5 3 8 1 17 1 6 8 1 1 2 2 3 5 1 2 0 6 1 7 0 0 1 1 1 0 0 1 0 11 4 0 8 5 2 0 2 1 0 0 1 1 4 0 5 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0
"CYV" 0 0 3 0 0 11 1 2 1 0 1 3 0 0 12 1 3 21 0 0 1 0 1 0 0 0 0 0 0 0 9 1 13 1 0 9 2 4 0 2 2 2 1 1 2 3 0 3 0 4 0 0 2 0 0 0 0 0 0 2 1 2 5 0 1 9 1 1 0 0 1 1 1 3 1 1 0 2 0 1 0 0 0 2 0 0 0 0 0 1
"DBRTV1" 0 0 1 10 0 1 0 10 47 0 9 1 0 0 33 0 0 5 2 3 0 0 0 3 0 0 1 0 0 1 0 1 1 5 1 3 2 15 7 2 11 3 1 1 29 9 4 3 4 8 1 0 1 0 1 1 0 0 1 0 1 0 1 2 2 1 1 4 3 0 16 2 0 1 6 1 0 1 4 2 0 0 0 5 2 0 0 0 1 1
"DBTRV1" 1 3 0 9 0 2 0 0 0 0 12 1 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 3 0 3 4 17 6 5 1 9 1 13 9 2 3 4 1 3 3 21 3 2 2 3 68 2 1 0 0 1 0 1 1 1 5 1 2 2 1 5 0 2 3 0 1 1 1 3 10 3 0 1 1 2 1 31 0 2 1 0 0 1 0 3
"FBaV-1" 1 3 3 6 1 4 0 2 14 0 3 0 0 0 1 2 1 22 1 0 0 0 0 1 0 1 1 0 2 2 2 6 2 4 1 3 8 3 7 0 4 1 2 1 1 18 19 9 5 16 7 0 0 1 1 1 0 0 1 2 3 1 1 4 1 1 1 1 4 0 4 0 1 2 2 3 0 2 3 2 0 0 0 2 1 7 0 0 0 0
"FreMV" 0 2 0 0 1 3 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 6 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"GLRaV-1" 0 0 6 1 1 0 1 0 71 0 1 1 0 0 0 3 1 3 0 0 1 0 0 0 0 0 0 0 0 3 1 7 28 5 4 2 7 2 16 5 5 2 6 7 4 9 19 1 2 13 83 1 1 1 0 1 0 0 0 2 0 0 19 1 3 0 1 0 3 1 1 3 0 0 1 2 1 0 30 15 0 1 3 1 2 0 0 0 0 1
"GLRaV-10" 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 4 1 0 0 2 4 5 0 2 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 2 3 1 1 0 1 2 2 0 0 0 0 0 1 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0
"GRSPaV" 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HarMV" 0 0 7 7 1 0 0 3 0 0 4 0 0 1 7 1 2 7 0 0 0 1 0 3 0 0 0 1 0 1 1 186 2 4 3 5 1 9 1 3 8 0 0 3 0 71 1091 61 0 2 27 1 0 1 0 1 0 0 0 1 0 0 1 7 6 3 0 1 0 0 15 0 0 0 1 6 5 1 0 5 1 0 1 10 1 0 0 0 0 0
"HBV" 0 1 3 10 0 1 0 1 1 0 5 0 1 0 22 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 30 3 5 1 0 3 1 32 1 0 1 2 0 0 6 0 0 0 1 0 0 0 3 0 1 0 0 1 2 4 0 1 2 0 1 0 0 9 0 0 3 1 1 2 1 0 47 1 3 0 0 0 0 0 0 0 0
"IYVV" 0 0 4 2 0 0 0 2 2 1 11 3 0 1 10 0 2 16 0 0 1 3 0 0 0 0 1 0 0 1 1 4 3 2 1 1 7 1 2 1 17 8 1 5 3 4 25 8 2 6 47 7 5 0 0 1 0 0 0 0 1 0 2 5 0 0 1 0 1 0 26 3 0 6 6 1 0 1 0 1 1 32 1 0 1 6 0 0 0 0
"LMV" 0 0 2 8 2 1 0 0 3 0 4 6 0 0 4 0 15 17 0 0 0 0 1 5 0 0 0 0 0 1 2 4 3 4 15 5 3 0 37 0 20 9 3 2 4 4 85 96 0 2 15 2 13 1 0 0 0 0 0 0 5 0 3 6 9 4 5 0 3 0 15 1 0 1 0 2 6 2 0 0 1 1 0 4 2 0 0 0 0 0
"LPV" 0 2 20 2 1 1 0 0 0 0 2 2 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 4 4 4 2 1 18 2 2 1 5 6 0 3 1 13 0 1 0 6 0 2 1 0 0 0 0 0 0 0 1 2 3 3 3 0 6 0 0 2 3 1 0 1 3 0 0 0 0 1 1 3 0 1 1 1 0 0 0 0
"MerMV" 0 0 3 2 1 0 0 2 3 2 1 7 2 0 20 1 0 3 1 0 3 1 3 1 0 0 1 1 0 0 0 5 3 2 1 1 1 2 1 2 2 18 6 1 5 54 86 8 11 5 6 2 17 1 0 0 0 0 0 0 1 0 1 3 1 0 0 1 0 0 0 3 4 1 6 3 0 0 1 1 0 14 9 5 0 0 0 0 1 0
"MWMV" 0 0 8 9 1 33 0 5 0 9 0 3 0 0 3 0 1 28 2 0 0 0 0 0 0 0 0 1 0 1 1 11 0 6 2 21 3 91 2 11 1 90 9 0 0 8 0 4 0 8 0 0 5 0 0 0 0 0 0 0 0 0 6 1 18 5 1 3 0 0 1 2 1 1 2 2 2 1 0 2 0 1 1 0 1 0 0 0 0 0
"NLSYV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NoMV" 0 0 4 5 0 1 0 0 1 0 1 0 1 1 4 2 1 3 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 10 2 2 0 0 3 24 6 1 4 5 0 42 0 1 0 14 0 1 1 2 4 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 3 18 1 7 4 0 0 2 1 3 1 18 3 1 0 0 0 0
"OYDV" 0 0 6 4 3 2 3 3 6 2 22 0 2 3 4 0 2 4 1 1 1 0 1 4 0 0 4 0 0 1 0 1 5 3 5 10 14 2 5 1 17 1 8 10 7 5 8 2 2 26 31 1 2 2 1 3 1 0 0 0 0 0 6 3 3 3 5 1 2 0 21 3 3 8 2 1 1 0 1 3 1 1 1 10 2 25 1 0 0 0
"PapMV" 1 2 1 10 1 9 0 0 4 1 1 1 0 3 0 1 1 9 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 2 3 21 2 2 2 1 3 0 0 7 0 2 0 5 0 2 0 0 65 5 0 2 0 0 0 0 0 0 1 1 2 1 1 0 0 1 2 6 0 6 0 2 0 0 0 0 2 0 5 0 2 0 0 0 0 0
"PAV" 0 1 1 1 0 0 0 1 0 0 4 1 0 4 119 0 1 3 0 1 0 0 0 2 8 0 0 0 0 2 0 1 2 1 1 2 1 0 0 5 2 4 0 10 5 2 0 6 0 2 0 2 1 0 2 1 0 0 1 0 1 0 1 1 11 1 1 0 0 3 31 0 0 7 29 0 0 2 1 0 1 1 1 1 24 0 0 0 0 0
"PClSV" 0 0 2 2 4 1 0 4 1 2 3 4 0 1 36 0 1 7 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 4 1 0 4 16 2 15 4 29 0 8 5 11 7 1 0 13 0 1 0 1 5 1 1 0 0 0 0 0 0 1 2 2 0 1 3 4 1 9 0 3 67 0 0 0 0 14 1 1 0 1 11 35 0 1 0 0
"PDV-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 0 1 1 0 0 4 0 0 1 0 0 0 0 1 0 5 2 0 0 0 0 0
"PeAV" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 17 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"PeMoV" 0 0 1 44 1 2 0 0 12 0 16 0 0 0 0 2 1 0 0 1 0 4 0 0 3 0 1 0 2 0 0 0 2 3 1 0 3 4 7 4 19 1 12 0 4 0 0 1 0 0 0 7 3 1 2 4 0 0 1 0 0 0 0 1 3 2 2 0 1 2 3 0 1 26 7 3 0 0 0 0 2 2 2 1 0 0 0 0 0 0
"PenMV" 0 0 2 0 0 1 0 4 1 17 11 0 1 1 7 0 0 7 0 5 0 0 0 0 6 0 0 0 0 0 0 1 1 1 0 1 10 2 3 2 10 0 4 2 2 0 0 2 0 0 0 1 47 1 14 4 0 0 0 0 0 0 1 3 0 1 1 0 1 1 52 1 0 7 4 3 0 0 0 3 0 0 1 1 3 0 0 0 0 0
"PiCV-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 3 0 1 0 0 1 1 3 0 3 0 3 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 2 0 0 0 0 14 0 1 3 1 0 1 2 1 0 0 0 0 2 12 0 0 11 0 2 1 1 0 0 2 0 8 1 0 0 2 0 0 4 3 1 34 2 0 0 0
"PkMV" 0 0 0 0 0 1 0 0 0 0 3 2 1 3 0 1 5 0 0 0 0 0 0 2 0 0 2 0 0 0 0 2 0 3 0 0 0 3 5 7 0 5 1 11 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 1 0 0 0 1 3 3 0 2 0 0 1 0 2 0 0 1 0 0 2 1 2 0 0 1 0 0 0
"PMNV" 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 9 2 0 0 0 0 0 0 36 0 6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0
"PPV" 0 0 0 4 1 0 0 0 1 2 2 0 1 0 0 0 2 0 0 17 0 1 0 0 0 0 0 2 0 0 0 1 0 3 0 0 2 0 1 1 0 0 8 1 1 0 0 7 0 0 0 0 0 1 2 1 0 1 1 0 0 0 1 0 1 1 3 0 0 0 0 0 0 1 3 0 0 2 0 1 0 0 0 160 0 0 2 1 0 0
"PRSV" 0 0 17 1 1 0 0 1 0 0 15 12 2 0 24 2 7 53 0 2 0 1 2 4 14 2 1 9 0 1 1 0 3 1 1 1 4 2 1 4 19 2 1 1 4 0 0 17 0 2 0 3 8 3 9 7 0 1 0 1 1 0 1 1 1 0 4 0 1 0 7 1 1 1 218 1 1 2 0 0 0 0 3 10 2 0 1 0 0 1
"PSbMV" 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 15 0 0 1 7 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 2 4 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 0 8 0 0 1 0 1 0 2 0 1 0 0 0 0 0 0
"PVMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 14 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 0 0 0 0 0 0 0 0 0 0
"PYMAV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 3 0 2 1 0 0 1 4 4 4 8 2 1 1 0 0 26 0 0 0 1 0 2 2 2 0 0 0 3 0 0 0 3 2 0 0 0 0 3 0 1 0 3 2 6 0 0 0 0 1 0 1 3 0 0 0 1 0 0
"PyV" 0 0 0 0 0 0 0 0 23 0 3 1 0 1 0 1 1 9 0 0 1 0 0 0 0 0 0 2 1 2 0 1 0 2 1 2 1 2 5 1 17 7 4 22 1 3 21 3 7 1 116 0 1 1 0 4 0 1 0 1 0 0 0 0 0 0 0 0 1 0 3 7 0 0 0 1 2 1 125 1 0 0 3 2 1 0 0 1 0 0
"PYV" 1 0 1 1 1 2 0 1 1 2 1 1 0 0 7 1 4 2 6 3 0 2 1 1 0 2 2 0 0 22 1 1 2 1 2 2 1 1 1 3 3 2 1 1 22 5 13 2 4 39 17 4 3 0 1 5 0 0 0 4 2 0 1 1 1 1 0 0 0 1 2 16 0 1 4 1 1 0 2 5 0 16 2 1 1 28 0 0 1 1
"RCCV-A" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RuFDV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 13 0 0 0 1 0 0 0 0 0 0 0 1 4 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 4 4 2 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 4 0 0 0 0 0 0
"SCBV" 2 2 0 1 0 0 0 1 0 11 1 1 0 0 2 1 1 6 0 1 0 0 1 0 0 1 4 1 0 1 9 6 0 0 0 2 3 1 1 2 1 2 1 1 1 26 0 1 0 40 0 0 6 2 0 1 1 1 0 2 5 1 0 2 0 0 2 0 0 1 1 2 0 1 0 2 0 0 0 22 2 0 5 6 0 12 1 0 1 0
"SCMV" 5 0 4 8 0 5 0 1 0 0 1 2 2 2 6 1 0 46 0 0 0 0 0 4 0 0 8 1 0 69 3 2 23 2 0 0 1 1 1 4 3 4 3 6 2 98 0 0 0 31 0 1 0 1 0 11 0 0 0 0 0 0 0 2 0 1 0 0 0 1 44 10 1 0 2 3 0 1 0 1 6 0 0 0 1 0 0 0 0 0
"SPBgV" 0 0 5 0 0 0 0 0 0 1 8 1 0 1 4 1 10 8 0 0 9 0 0 1 1 1 0 2 2 3 2 2 1 1 0 2 1 1 2 0 4 4 2 6 2 42 14 15 2 5 76 0 6 1 2 1 0 0 0 2 5 0 1 1 0 2 0 0 0 0 5 0 1 5 3 9 0 0 1 1 1 0 2 2 3 5 0 1 1 1
"SPC6V" 0 5 5 1 0 1 0 1 1 1 1 1 0 1 2 0 2 4 0 0 9 3 0 2 1 1 1 2 0 1 1 31 6 0 1 1 2 1 1 2 2 1 1 2 1 4 138 5 1 2 137 5 1 2 1 0 0 1 1 1 2 1 4 0 0 0 0 0 0 0 1 1 0 4 1 0 1 1 1 0 2 4 0 8 5 9 0 1 0 0
"SPCFV" 0 2 4 4 2 0 0 1 1 1 4 1 1 1 34 1 7 4 2 0 6 4 0 1 1 1 4 3 1 1 1 14 3 3 4 1 2 1 1 1 5 3 4 5 40 19 99 3 8 2 172 7 2 1 1 2 1 1 1 1 2 1 2 3 3 0 0 0 0 0 5 4 1 6 22 3 3 0 4 1 2 9 1 2 2 9 1 1 1 0
